epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,1084.13,0.5956,0.40623,1.10144,0.97375,0.93559,0.98855,0.72531,0.71464,0.40522,1.17745,0.000524392,0.000524392,0.000524392
162,1090.42,0.62387,0.38537,1.10892,0.96473,0.93706,0.98817,0.72207,0.74402,0.42186,1.20596,0.000520726,0.000520726,0.000520726
163,1097.14,0.62163,0.37782,1.11954,0.97254,0.94917,0.98852,0.72136,0.74822,0.41654,1.2146,0.000517059,0.000517059,0.000517059
164,1103.48,0.64896,0.4106,1.1417,0.95625,0.95453,0.9874,0.73012,0.74958,0.42127,1.22279,0.000513393,0.000513393,0.000513393
165,1110.36,0.65289,0.42465,1.12877,0.94776,0.96381,0.98623,0.70984,0.73223,0.41588,1.19857,0.000509727,0.000509727,0.000509727
166,1116.7,0.6211,0.41538,1.12799,0.95884,0.95386,0.98243,0.70423,0.73385,0.40409,1.19408,0.00050606,0.00050606,0.00050606
167,1123.42,0.62893,0.37652,1.10408,0.95463,0.97374,0.98029,0.70069,0.7542,0.41528,1.21151,0.000502394,0.000502394,0.000502394
168,1129.71,0.61976,0.38681,1.10243,0.95196,0.9771,0.98208,0.70796,0.73621,0.40983,1.20505,0.000498728,0.000498728,0.000498728
169,1136.41,0.63941,0.41173,1.13086,0.94918,0.96988,0.98348,0.70802,0.71623,0.40949,1.1988,0.000495062,0.000495062,0.000495062
170,1142.72,0.61149,0.36928,1.10415,0.95876,0.95474,0.98375,0.70983,0.72547,0.41688,1.21457,0.000491395,0.000491395,0.000491395
171,1149.34,0.61078,0.38494,1.10146,0.95109,0.96896,0.98437,0.73187,0.72277,0.40755,1.21439,0.000487729,0.000487729,0.000487729
172,1155.65,0.61493,0.38499,1.11346,0.95341,0.95875,0.98321,0.73325,0.73539,0.42986,1.22108,0.000484063,0.000484063,0.000484063
173,1162.41,0.59501,0.38948,1.11155,0.95121,0.95971,0.98153,0.74704,0.74307,0.43177,1.21992,0.000480396,0.000480396,0.000480396
174,1168.74,0.59601,0.40448,1.08349,0.95188,0.95729,0.97911,0.7401,0.7173,0.42892,1.20267,0.00047673,0.00047673,0.00047673
175,1175.6,0.62809,0.38198,1.12327,0.95155,0.95847,0.97982,0.72033,0.71933,0.45151,1.20047,0.000473064,0.000473064,0.000473064
176,1181.95,0.61722,0.39305,1.11416,0.92043,0.97336,0.9853,0.71444,0.7297,0.41997,1.21772,0.000469397,0.000469397,0.000469397
177,1188.77,0.5837,0.36143,1.08713,0.94758,0.96613,0.98284,0.71388,0.73379,0.41475,1.2313,0.000465731,0.000465731,0.000465731
178,1195.16,0.60851,0.39906,1.12206,0.95152,0.96916,0.9838,0.72277,0.7534,0.41348,1.25879,0.000462065,0.000462065,0.000462065
179,1202.44,0.64163,0.38924,1.12312,0.96175,0.94287,0.98329,0.73882,0.74376,0.43322,1.24307,0.000458399,0.000458399,0.000458399
